  Time[s]  W_orig[kg]  W_clean[kg]  W_interp[kg]  Disch[l/s]
    0   47.51   47.51   47.51   -0.01
   10   43.24   43.24   43.24    0.00
   23   43.85   43.85   43.85    0.01
   33   44.46   44.46   44.46    0.17
   43   44.73   44.73   44.73    0.22
   53   45.74 -999.00   44.76    0.25
   64   44.79   44.79   44.79    0.32
   74   45.31 -999.00   44.72    0.31
   84   44.65   44.65   44.65    0.31
   94   44.97   44.97   44.97    0.38
  104   45.10   45.10   45.10    0.38
  114   45.15   45.15   45.15    0.38
  124   44.99   44.99   44.99    0.43
  134   44.97   44.97   44.97    0.49
  144   44.87   44.87   44.87    0.56
  154   45.79   45.79   45.79    0.58
  165   46.01   46.01   46.01    0.64
  175   46.35 -999.00   46.00    0.64
  185   45.98   45.98   45.98    0.63
  195   45.87   45.87   45.87    0.64
  205   46.01   46.01   46.01    0.63
  215   46.21 -999.00   45.88    0.64
  225   45.74   45.74   45.74    0.64
  236   45.79   45.79   45.79    0.70
  246   45.19   45.19   45.19    1.55
  256   44.50   44.50   44.50    2.60
  266   44.26   44.26   44.26    1.38
  276   44.49   44.49   44.49    0.87
  286   45.47 -999.00   44.52    0.76
  296   44.55   44.55   44.55    0.78
  306   44.49   44.49   44.49    0.83
  316   45.52 -999.00   44.74    0.89
  327   45.02   45.02   45.02    0.89
  337   45.05   45.05   45.05    0.90
  347   44.86   44.86   44.86    0.95
  357   44.87   44.87   44.87    0.96
  367   44.83   44.83   44.83    0.96
  377   44.74   44.74   44.74    0.96
  392   44.62   44.62   44.62    0.95
  404   44.78   44.78   44.78    0.96
  414   44.68   44.68   44.68    0.96
  424   44.70   44.70   44.70    0.96
  434   44.54   44.54   44.54    0.95
  444   44.66   44.66   44.66    0.96
  454   44.74   44.74   44.74    0.96
  464   44.65   44.65   44.65    0.96
  474   44.63   44.63   44.63    0.96
  484   45.24 -999.00   44.68    0.96
  495   44.73   44.73   44.73    0.96
  505   44.60   44.60   44.60    1.01
  515   44.55   44.55   44.55    1.21
  525   44.91 -999.00   44.58    1.15
  535   44.60   44.60   44.60    1.11
  545   44.60   44.60   44.60    1.08
  555   44.79   44.79   44.79    1.09
  566   47.11 -999.00   45.19    1.09
  576   45.55   45.55   45.55    1.09
  586   46.16 -999.00   45.15    1.02
  596   44.74   44.74   44.74    1.02
  606   45.15 -999.00   44.71    1.02
  616   44.68   44.68   44.68    1.02
  626   48.65 -999.00   44.66    1.02
  636   44.63   44.63   44.63    1.02
  646   44.62   44.62   44.62    1.02
  656   44.76   44.76   44.76    1.02
  667   44.83   44.83   44.83    1.02
  677   44.68   44.68   44.68    1.02
  687   44.76   44.76   44.76    1.02
  697   47.81 -999.00   44.70    1.02
  707   44.63   44.63   44.63    1.02
  717   44.83   44.83   44.83    1.02
  727   44.76   44.76   44.76    1.02
  742   47.86 -999.00   44.70    1.02
  753   44.65   44.65   44.65    1.02
  763   44.81   44.81   44.81    1.02
  773   48.36 -999.00   44.78    1.02
  783   44.76   44.76   44.76    1.02
  793   44.55   44.55   44.55    1.02
  804   44.62   44.62   44.62    1.02
  814   45.53 -999.00   44.65    1.02
  824   44.68   44.68   44.68    1.02
  834   44.73   44.73   44.73    1.02
  844   44.57   44.57   44.57    1.02
  854   44.66   44.66   44.66    1.02
  864   44.65   44.65   44.65    1.02
  874   44.49   44.49   44.49    1.02
  885   44.46   44.46   44.46    1.02
  895   44.50   44.50   44.50    1.02
  905   47.83   47.83   47.83    1.02
  915   47.76   47.76   47.76    1.02
  925   44.57   44.57   44.57    1.02
  935   44.47   44.47   44.47    1.02
  945   44.78 -999.00   44.50    1.02
  955   44.52   44.52   44.52    1.02
  965   44.66   44.66   44.66    1.02
  975   44.49   44.49   44.49    1.02
  985   44.65   44.65   44.65    1.02
  996   44.62   44.62   44.62    1.02
 1006   44.68   44.68   44.68    1.02
 1016   44.44   44.44   44.44    1.02
 1026   44.58   44.58   44.58    1.02
 1036   47.01 -999.00   44.59    1.02
 1046   44.60   44.60   44.60    1.02
 1056   44.65   44.65   44.65    1.02
 1067   44.60   44.60   44.60    1.02
 1077   44.54   44.54   44.54    1.02
 1087   44.62   44.62   44.62    1.02
 1097   44.76   44.76   44.76    1.02
 1107   44.52   44.52   44.52    1.02
 1117   44.54   44.54   44.54    1.02
 1127   46.83 -999.00   44.83    1.02
 1137   45.11   45.11   45.11    1.03
 1152   44.49   44.49   44.49    1.02
 1163   44.60   44.60   44.60    1.03
 1173   44.39   44.39   44.39    1.02
 1183   44.62   44.62   44.62    1.02
 1193   45.29 -999.00   44.50    1.02
 1203   44.38   44.38   44.38    1.02
 1213   44.58   44.58   44.58    1.02
 1223   44.76   44.76   44.76    1.02
 1234   44.86   44.86   44.86    1.02
 1244   44.31   44.31   44.31    1.02
 1254   44.39   44.39   44.39    1.02
 1264   44.36   44.36   44.36    1.02
 1274   44.66   44.66   44.66    1.02
 1284   44.95   44.95   44.95    1.02
 1294   45.18 -999.00   44.69    1.02
 1304   44.42   44.42   44.42    1.02
 1314   44.33   44.33   44.33    1.02
 1325   47.60 -999.00   44.37    1.02
 1335   44.41   44.41   44.41    1.02
 1345   46.75 -999.00   44.33    1.02
 1355   44.25   44.25   44.25    1.02
 1365   44.25   44.25   44.25    1.02
 1375   44.23   44.23   44.23    1.02
 1385   44.26   44.26   44.26    1.02
 1395   44.21   44.21   44.21    1.02
 1405   44.30   44.30   44.30    1.02
 1416   44.49   44.49   44.49    1.02
 1426   46.40   46.40   46.40    1.02
 1436   47.20 -999.00   45.43    1.02
 1446   44.46   44.46   44.46    1.02
 1456   44.46   44.46   44.46    1.02
 1466   44.33   44.33   44.33    1.02
 1476   44.31   44.31   44.31    1.02
 1486   44.36   44.36   44.36    1.02
 1496   47.73 -999.00   44.58    1.02
 1507   44.83   44.83   44.83    1.02
 1517   44.49   44.49   44.49    1.02
 1527   44.34   44.34   44.34    1.02
 1537   44.46   44.46   44.46    1.02
 1552   44.74 -999.00   44.52    1.02
 1563   44.57   44.57   44.57    1.02
 1573   48.09 -999.00   44.62    1.02
 1583   44.66   44.66   44.66    1.02
 1593   44.49   44.49   44.49    1.02
 1604   44.84 -999.00   44.43    1.02
 1614   44.38   44.38   44.38    1.02
 1624   44.97 -999.00   44.45    1.02
 1634   44.52   44.52   44.52    1.02
 1644   44.49   44.49   44.49    1.02
 1654   44.47   44.47   44.47    1.02
 1664   44.71   44.71   44.71    1.02
 1675   44.65   44.65   44.65    1.02
 1685   44.60   44.60   44.60    1.02
 1695   44.39   44.39   44.39    1.02
 1705   45.31 -999.00   44.57    1.02
 1715   44.74   44.74   44.74    1.02
 1725   44.50   44.50   44.50    1.02
 1735   44.50   44.50   44.50    1.02
 1745   46.95 -999.00   44.59    1.02
 1756   44.68   44.68   44.68    1.02
 1766   44.78   44.78   44.78    1.02
 1776   44.76   44.76   44.76    1.02
 1786   44.76   44.76   44.76    1.02
 1796   44.63   44.63   44.63    1.02
 1806   44.78   44.78   44.78    1.02
 1816   44.83   44.83   44.83    1.02
 1826   44.66   44.66   44.66    1.02
 1837   44.74   44.74   44.74    1.02
 1847   44.63   44.63   44.63    1.02
 1857   46.50 -999.00   44.78    1.02
 1867   44.92   44.92   44.92    1.02
 1877   44.81   44.81   44.81    1.02
 1887   45.27 -999.00   44.85    1.02
