  Time[s]  W_orig[kg]  W_clean[kg]  W_interp[kg]  Disch[l/s]
    0  103.41  103.41  103.41    0.07
   13   98.21   98.21   98.21   -0.01
   24   98.47   98.47   98.47    0.17
   34   98.47   98.47   98.47    0.31
   44   97.91   97.91   97.91    0.38
   55   98.32   98.32   98.32    0.44
   65   98.19   98.19   98.19    0.44
   75   98.23   98.23   98.23    0.45
   85   98.47   98.47   98.47    0.52
   95   98.64   98.64   98.64    0.52
  105   98.27   98.27   98.27    0.52
  115   98.32   98.32   98.32    0.52
  126   98.50   98.50   98.50    0.57
  136   98.68   98.68   98.68    0.66
  146   98.64   98.64   98.64    0.77
  156   98.90   98.90   98.90    0.82
  166   98.82   98.82   98.82    0.83
  176   98.93   98.93   98.93    0.90
  186   98.69   98.69   98.69    0.90
  196   99.67 -999.00   98.66    0.89
  207   98.63   98.63   98.63    0.96
  217  100.14 -999.00   98.54    0.96
  227   98.45   98.45   98.45    0.97
  237   98.50   98.50   98.50    0.96
  247   98.36   98.36   98.36    0.97
  257   98.26   98.26   98.26    0.96
  267   98.36   98.36   98.36    1.02
  277   98.63 -999.00   98.34    1.02
  287   98.32   98.32   98.32    1.03
  298   98.44   98.44   98.44    1.02
  308   99.11 -999.00   98.53    1.05
  318   98.63   98.63   98.63    1.03
  328   98.55   98.55   98.55    1.03
  338   98.77   98.77   98.77    1.03
  348   98.61   98.61   98.61    1.03
  358   99.11 -999.00   98.64    1.03
  373   98.69   98.69   98.69    1.03
  384   98.84   98.84   98.84    1.03
  394   98.71   98.71   98.71    1.03
  404   98.79   98.79   98.79    1.03
  414   98.79   98.79   98.79    1.03
  424   98.74   98.74   98.74    1.03
  435   98.64   98.64   98.64    1.03
  445   99.29 -999.00   98.75    1.02
  455   98.85   98.85   98.85    1.03
  465   98.85   98.85   98.85    1.03
  475   98.85   98.85   98.85    1.02
  485   98.63   98.63   98.63    1.03
  495   98.90   98.90   98.90    1.03
  505   98.77   98.77   98.77    1.03
  515   98.84   98.84   98.84    1.02
  525  101.62 -999.00   98.76    1.04
  536   98.68   98.68   98.68    1.03
  546   98.77   98.77   98.77    1.03
  556   98.72   98.72   98.72    1.03
  566   98.79   98.79   98.79    1.03
  576   98.60   98.60   98.60    1.04
  586   98.64   98.64   98.64    1.03
  596   98.71   98.71   98.71    1.04
  606   98.71   98.71   98.71    1.03
  617   98.66   98.66   98.66    1.03
  627   98.76   98.76   98.76    1.03
  637   98.71   98.71   98.71    1.03
  647   99.22 -999.00   98.79    1.03
  657   98.87   98.87   98.87    1.03
