Data 25 / 03 / 2011


Istante [H:M]	Peso [kg]	Portata [l/s]

14:49:12	58.65	0.06
14:49:24	55.41	-0.00
14:49:35	55.51	0.16
14:49:45	55.59	0.30
14:49:55	56.57	0.35
14:50:05	55.75	0.37
14:50:15	55.67	0.43
14:50:25	55.71	0.44
14:50:35	56.98	0.43
14:50:45	55.75	0.44
14:50:56	55.81	0.50
14:51:06	55.57	0.50
14:51:16	56.05	0.52
14:51:26	55.53	0.61
14:51:36	56.01	0.70
14:51:46	55.59	0.77
14:51:56	55.75	0.86
14:52:06	56.08	1.10
14:52:16	56.12	1.08
14:52:26	55.63	1.08
14:52:36	55.81	1.09
14:52:46	57.43	1.08
14:52:56	55.80	1.08
14:53:06	55.64	1.09
14:53:16	56.05	1.10
14:53:26	55.80	1.09
14:53:36	56.04	1.08
14:53:46	55.92	1.08
14:53:56	55.92	1.08
14:54:06	56.06	1.08
14:54:17	55.81	1.08
14:54:27	56.02	1.08
14:54:37	55.90	1.08
14:54:47	55.77	1.08
14:54:57	56.19	1.08
14:55:07	55.82	1.09
14:55:17	55.93	1.08
14:55:27	55.71	1.08
14:55:37	55.83	1.08
14:55:47	55.82	1.09
14:55:57	55.94	1.09
14:56:07	55.92	1.08
14:56:17	55.74	1.09
14:56:27	55.84	1.08
14:56:37	55.94	1.08
14:56:48	55.89	1.09
14:56:58	56.02	1.08
14:57:08	55.80	1.08
14:57:18	56.24	1.08
14:57:28	55.96	1.08
14:57:38	56.07	1.08
14:57:48	55.93	1.08
14:57:58	55.82	1.08
14:58:08	55.78	1.08
14:58:18	56.03	1.08
14:58:28	55.88	1.08
14:58:38	55.93	1.07
14:58:48	55.83	1.08
14:58:58	55.88	1.08
14:59:08	56.75	1.09
14:59:18	55.82	1.08
14:59:28	56.01	1.07
14:59:38	55.89	1.08
14:59:48	55.70	1.08
14:59:59	55.97	1.08
15:00:09	55.85	1.08
15:00:19	55.85	1.08
15:00:29	55.91	1.07
15:00:39	56.88	1.09
15:00:49	56.14	1.07
15:00:59	56.20	1.08
15:01:09	56.32	1.09
15:01:19	56.17	1.07
15:01:29	56.13	1.08
15:01:39	56.16	1.08
15:01:49	56.07	1.08
15:01:59	56.08	1.08
15:02:09	57.64	1.07
15:02:19	56.59	1.08
15:02:29	55.96	1.08
15:02:39	55.90	1.08
15:02:54	57.67	1.07
15:03:05	56.09	1.08
15:03:15	55.93	1.07
15:03:25	56.04	1.08
15:03:35	56.05	1.08
15:03:45	55.92	1.08
15:03:55	56.06	1.08
15:04:05	55.98	1.08
15:04:15	55.99	1.08
15:04:26	56.27	1.08
15:04:36	55.87	1.08
15:04:46	55.87	1.07
15:04:56	55.87	1.09
15:05:06	55.81	1.07
15:05:16	56.03	1.08
15:05:26	55.87	1.07
15:05:36	55.87	1.08
15:05:46	55.91	1.08
15:05:56	57.12	1.07
15:06:06	55.96	1.08
15:06:16	55.84	1.07
15:06:27	55.87	1.08
15:06:37	55.85	1.09
15:06:47	56.03	1.08
15:06:57	55.82	1.08
15:07:07	55.86	1.08
15:07:17	55.81	1.08
15:07:27	55.79	1.08
15:07:37	55.88	1.08
15:07:47	55.91	1.08
15:07:57	55.91	1.08
15:08:07	55.90	1.07
15:08:17	55.98	1.08
15:08:27	56.02	1.08
15:08:37	55.93	1.09
15:08:48	57.63	1.07
15:08:58	56.21	1.07
15:09:08	55.74	1.07
15:09:18	55.78	1.07
15:09:28	55.81	1.08
15:09:38	55.99	1.08
15:09:48	55.83	1.08
15:09:58	56.01	1.09
15:10:08	55.72	1.07
15:10:18	57.09	1.09
15:10:29	55.83	1.08
15:10:39	55.90	1.09
15:10:49	55.83	1.08
15:10:59	55.72	1.08
15:11:09	55.90	1.08
15:11:19	55.87	1.08
15:11:29	55.90	1.08
15:11:39	55.88	1.08
15:11:49	55.93	1.08
15:11:59	55.92	1.08
15:12:09	55.85	1.07
15:12:19	55.93	1.08
15:12:34	55.83	1.08
15:12:45	56.00	1.08
15:12:55	57.13	1.07
15:13:05	55.79	1.08
15:13:15	56.24	1.07
15:13:25	56.44	1.09
15:13:35	55.71	1.08
15:13:45	55.82	1.08
15:13:55	55.80	1.08
15:14:05	55.74	1.07
15:14:16	56.06	1.07
15:14:26	56.07	1.07
15:14:36	55.97	1.08
15:14:46	55.91	1.08
15:14:56	55.84	1.07
15:15:06	55.81	1.08
15:15:16	56.02	1.08
15:15:26	55.87	1.08
15:15:36	56.07	1.08
15:15:46	55.90	1.07
15:15:56	55.84	1.07
15:16:06	55.99	1.08
15:16:16	56.12	1.08
15:16:27	56.07	1.07
15:16:37	56.01	1.08
15:16:47	56.04	1.08
15:16:57	56.21	1.08
15:17:07	56.04	1.08
